"CustomerID","Gender","Location","Tenure_Months","Transaction_Date","Product_Category","Quantity","Avg_Price","Delivery_Charges","Coupon_Status","Transaction_Month","Transaction_Day","Combined_Key"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,153.71,6.5,"1",1,1,"16679-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,153.71,6.5,"1",1,1,"16680-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-01","Office",1,2.05,6.5,"1",1,1,"16681-GGOEGFKQ020399"
17850,0,"Chicago",12,"2019-01-01","Apparel",5,17.53,6.5,"0",1,1,"16682-GGOEGAAB010516"
17850,0,"Chicago",12,"2019-01-01","Bags",1,16.5,6.5,"1",1,1,"16682-GGOEGBJL013999"
17850,0,"Chicago",12,"2019-01-01","Bags",15,5.15,6.5,"1",1,1,"16682-GGOEGBMJ013399"
17850,0,"Chicago",12,"2019-01-01","Drinkware",5,9.27,6.5,"1",1,1,"16682-GGOEGDWC020199"
17850,0,"Chicago",12,"2019-01-01","Lifestyle",1,1.24,6.5,"1",1,1,"16696-GGOEGPJR018999"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",2,122.77,6.5,"0",1,1,"16696-GGOENEBQ078999"
17850,0,"Chicago",12,"2019-01-01","Waze",1,7.21,6.5,"1",1,1,"16697-GGOEWEBB082699"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,153.71,6.5,"0",1,1,"16701-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",2,81.5,6.5,"0",1,1,"16703-GGOENEBQ079099"
17850,0,"Chicago",12,"2019-01-01","Apparel",1,108.31,6.5,"1",1,1,"16704-GGOEGAPB058615"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,256.88,6.5,"1",1,1,"16704-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-01","Fun",4,9.27,6.5,"1",1,1,"16704-GGOEYOBR078599"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,122.77,6.5,"1",1,1,"16713-GGOENEBQ078999"
17850,0,"Chicago",12,"2019-01-01","Apparel",1,57.76,6.5,"1",1,1,"16715-GGOEYAFB073115"
17850,0,"Chicago",12,"2019-01-01","Apparel",1,19.59,6.5,"0",1,1,"16716-GGOEGAAJ073415"
17850,0,"Chicago",12,"2019-01-01","Office",1,2.05,6.5,"0",1,1,"16716-GGOEGFKQ020399"
17850,0,"Chicago",12,"2019-01-01","Bags",4,3.61,6.5,"1",1,1,"16717-GGOEGBJR018199"
17850,0,"Chicago",12,"2019-01-01","Drinkware",4,9.27,6.5,"0",1,1,"16717-GGOEGDWC020199"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,153.71,6.5,"1",1,1,"16720-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,153.71,6.5,"0",1,1,"16721-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,153.71,6.5,"1",1,1,"16722-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",2,122.77,6.5,"1",1,1,"16722-GGOENEBQ078999"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,122.77,6.5,"1",1,1,"16723-GGOENEBB078899"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,122.77,6.5,"0",1,1,"16725-GGOENEBB078899"
17850,0,"Chicago",12,"2019-01-01","Nest-USA",1,122.77,6.5,"0",1,1,"16727-GGOENEBB078899"
17850,0,"Chicago",12,"2019-01-03","Office",4,9.07,28.78,"1",1,3,"16877-GGOEGOCB017499"
17850,0,"Chicago",12,"2019-01-03","Nest-USA",1,153.71,6.5,"1",1,3,"16879-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-03","Nest-USA",1,153.71,6.5,"1",1,3,"16882-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-03","Drinkware",26,19.83,74.74,"0",1,3,"16885-GGOEGDHQ015399"
17850,0,"Chicago",12,"2019-01-03","Office",5,1.64,74.74,"0",1,3,"16885-GGOEGFKQ020399"
17850,0,"Chicago",12,"2019-01-03","Office",5,1.64,74.74,"0",1,3,"16885-GGOEYFKQ020699"
17850,0,"Chicago",12,"2019-01-03","Nest-USA",1,122.77,6.5,"0",1,3,"16886-GGOENEBQ078999"
17850,0,"Chicago",12,"2019-01-03","Apparel",1,22.69,35.3,"0",1,3,"16887-GGOEGAAJ059116"
17850,0,"Chicago",12,"2019-01-03","Apparel",1,53.64,35.3,"0",1,3,"16887-GGOEGAFJ036216"
17850,0,"Chicago",12,"2019-01-03","Lifestyle",1,12.37,35.3,"1",1,3,"16887-GGOEGCNB021099"
17850,0,"Chicago",12,"2019-01-03","Office",6,1.64,35.3,"1",1,3,"16903-GGOEGFKQ020399"
17850,0,"Chicago",12,"2019-01-04","Nest-USA",1,153.71,6.5,"0",1,4,"16984-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-04","Bags",12,2.89,13.78,"1",1,4,"16988-GGOEGBJR018199"
17850,0,"Chicago",12,"2019-01-04","Bags",1,82.52,13.78,"0",1,4,"16989-GGOEGBRA037499"
17850,0,"Chicago",12,"2019-01-04","Lifestyle",26,3.47,6.5,"0",1,4,"16990-GGOEGHGH019699"
17850,0,"Chicago",12,"2019-01-04","Lifestyle",26,3.47,6.5,"0",1,4,"16990-GGOEGHGR019499"
17850,0,"Chicago",12,"2019-01-04","Lifestyle",26,3.47,6.5,"0",1,4,"16990-GGOEGHGT019599"
17850,0,"Chicago",12,"2019-01-04","Drinkware",1,7.42,6.5,"0",1,4,"16991-GGOEGDWC020199"
17850,0,"Chicago",12,"2019-01-04","Lifestyle",1,2.89,6.5,"0",1,4,"16991-GGOEGHGC019799"
17850,0,"Chicago",12,"2019-01-04","Lifestyle",1,2.89,6.5,"0",1,4,"16991-GGOEGHGR019499"
17850,0,"Chicago",12,"2019-01-04","Drinkware",2,13.4,6.5,"1",1,4,"16992-GGOEADHB014799"
17850,0,"Chicago",12,"2019-01-04","Office",5,3.08,6.5,"1",1,4,"16992-GGOEAFKQ020599"
17850,0,"Chicago",12,"2019-01-16","Apparel",1,20.62,6.5,"0",1,16,"18017-GGOEGAEC033115"
17850,0,"Chicago",12,"2019-01-16","Apparel",1,19.8,6.5,"0",1,16,"18017-GGOEGALP036317"
17850,0,"Chicago",12,"2019-01-16","Drinkware",1,20.62,6.5,"0",1,16,"18017-GGOEGDHQ015399"
17850,0,"Chicago",12,"2019-01-16","Nest-USA",1,122.77,6.5,"0",1,16,"18020-GGOENEBB078899"
17850,0,"Chicago",12,"2019-01-17","Nest-USA",1,153.71,6.5,"0",1,17,"18021-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-17","Nest-USA",1,153.71,6.5,"0",1,17,"18023-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-17","Apparel",1,17.53,6.5,"1",1,17,"18024-GGOEGAAQ010415"
17850,0,"Chicago",12,"2019-01-17","Headgear",1,22.69,6.5,"0",1,17,"18024-GGOEYHPA003510"
17850,0,"Chicago",12,"2019-01-17","Apparel",1,53.64,6.5,"0",1,17,"18028-GGOEGAFJ036216"
17850,0,"Chicago",12,"2019-01-17","Nest-USA",4,122.77,6.5,"1",1,17,"18029-GGOENEBQ078999"
17850,0,"Chicago",12,"2019-01-17","Apparel",1,15.67,6.5,"1",1,17,"18031-GGOEYAAJ032515"
17850,0,"Chicago",12,"2019-01-17","Apparel",1,15.67,6.5,"0",1,17,"18031-GGOEYAAJ032517"
17850,0,"Chicago",12,"2019-01-17","Drinkware",1,8.24,20,"0",1,17,"18033-GGOEYDHJ019399"
17850,0,"Chicago",12,"2019-01-17","Office",1,7.21,20,"0",1,17,"18033-GGOEYOLR018699"
17850,0,"Chicago",12,"2019-01-17","Nest-USA",1,122.77,6.5,"1",1,17,"18034-GGOENEBB078899"
17850,0,"Chicago",12,"2019-01-17","Nest-USA",2,153.71,6.5,"0",1,17,"18035-GGOENEBJ079499"
17850,0,"Chicago",12,"2019-01-17","Drinkware",1,20.62,6.5,"1",1,17,"18072-GGOEGDHB072099"
