CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status
17850,M,Chicago,12,16679,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Used
17850,M,Chicago,12,16680,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Used
17850,M,Chicago,12,16681,1/1/2019,GGOEGFKQ020399,Office,1,2.05,6.5,Used
17850,M,Chicago,12,16682,1/1/2019,GGOEGAAB010516,Apparel,5,17.53,6.5,Not Used
17850,M,Chicago,12,16682,1/1/2019,GGOEGBJL013999,Bags,1,16.5,6.5,Used
17850,M,Chicago,12,16682,1/1/2019,GGOEGBMJ013399,Bags,15,5.15,6.5,Used
17850,M,Chicago,12,16682,1/1/2019,GGOEGDHC018299,Drinkware,15,3.08,6.5,Not Used
17850,M,Chicago,12,16682,1/1/2019,GGOEGDHG014499,Drinkware,15,10.31,6.5,Clicked
17850,M,Chicago,12,16682,1/1/2019,GGOEGDWC020199,Drinkware,5,9.27,6.5,Used
17850,M,Chicago,12,16696,1/1/2019,GGOEGPJR018999,Lifestyle,1,1.24,6.5,Used
17850,M,Chicago,12,16696,1/1/2019,GGOENEBQ078999,Nest-USA,2,122.77,6.5,Not Used
17850,M,Chicago,12,16697,1/1/2019,GGOEGAAJ073414,Apparel,1,19.59,6.5,Clicked
17850,M,Chicago,12,16697,1/1/2019,GGOEWEBB082699,Waze,1,7.21,6.5,Used
17850,M,Chicago,12,16699,1/1/2019,GGOENEBQ079099,Nest-USA,1,81.5,6.5,Clicked
17850,M,Chicago,12,16700,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Clicked
17850,M,Chicago,12,16701,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Clicked
17850,M,Chicago,12,16702,1/1/2019,GGOENEBJ079499,Nest-USA,2,153.71,6.5,Clicked
17850,M,Chicago,12,16703,1/1/2019,GGOENEBQ079099,Nest-USA,2,81.5,6.5,Not Used
17850,M,Chicago,12,16704,1/1/2019,GGOEADHB014799,Drinkware,10,13.4,6.5,Clicked
17850,M,Chicago,12,16704,1/1/2019,GGOEADWQ015699,Drinkware,1,13.4,6.5,Clicked
17850,M,Chicago,12,16704,1/1/2019,GGOEGAPB058615,Apparel,1,108.31,6.5,Used
17850,M,Chicago,12,16704,1/1/2019,GGOEGBJC019999,Bags,10,5.15,6.5,Clicked
17850,M,Chicago,12,16704,1/1/2019,GGOEGHPA002910,Headgear,10,22.69,6.5,Clicked
17850,M,Chicago,12,16704,1/1/2019,GGOENEBJ079499,Nest-USA,1,256.88,6.5,Used
17850,M,Chicago,12,16704,1/1/2019,GGOEYOBR078599,Fun,4,9.27,6.5,Used
17850,M,Chicago,12,16706,1/1/2019,GGOEGAAB010517,Apparel,1,14.02,6.5,Clicked
17850,M,Chicago,12,16710,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,28.78,Clicked
17850,M,Chicago,12,16713,1/1/2019,GGOENEBQ078999,Nest-USA,1,122.77,6.5,Used
17850,M,Chicago,12,16715,1/1/2019,GGOEYAFB073115,Apparel,1,57.76,6.5,Used
17850,M,Chicago,12,16716,1/1/2019,GGOEGAAJ073415,Apparel,1,19.59,6.5,Clicked
17850,M,Chicago,12,16716,1/1/2019,GGOEGFKQ020399,Office,1,2.05,6.5,Clicked
17850,M,Chicago,12,16717,1/1/2019,GGOEGBJR018199,Bags,4,3.61,6.5,Used
17850,M,Chicago,12,16717,1/1/2019,GGOEGDWC020199,Drinkware,4,9.27,6.5,Clicked
17850,M,Chicago,12,16719,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Not Used
17850,M,Chicago,12,16720,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Used
17850,M,Chicago,12,16720,1/1/2019,GGOENEBQ078999,Nest-USA,1,122.77,6.5,Clicked
17850,M,Chicago,12,16721,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Clicked
17850,M,Chicago,12,16722,1/1/2019,GGOENEBJ079499,Nest-USA,1,153.71,6.5,Used
17850,M,Chicago,12,16722,1/1/2019,GGOENEBQ078999,Nest-USA,2,122.77,6.5,Used
17850,M,Chicago,12,16723,1/1/2019,GGOENEBB078899,Nest-USA,1,122.77,6.5,Used
17850,M,Chicago,12,16723,1/1/2019,GGOENEBQ078999,Nest-USA,1,122.77,6.5,Not Used
17850,M,Chicago,12,16724,1/1/2019,GGOENEBB078899,Nest-USA,1,122.77,6.5,Clicked
17850,M,Chicago,12,16725,1/1/2019,GGOENEBB078899,Nest-USA,1,122.77,6.5,Clicked
